Group,Sample_ID,Sample_Key,Photocurrent,Onset_P,OCP_Dark_Avg,OCP_Light_Avg,Photovoltage,PK_F110_POS,PK_F110_INT,PK_F110_FWHM,PK_F200_POS,PK_F200_INT,PK_F200_FWHM,PK_F211_POS,PK_F211_INT,PK_F211_FWHM,PK_F220_POS,PK_F220_INT,PK_F220_FWHM,PK_F310_POS,PK_F310_INT,PK_F310_FWHM,PK_H110_POS,PK_H110_INT,PK_H110_FWHM,PK_H104_POS,PK_H104_INT,PK_H104_FWHM,PK_F101_POS,PK_F101_INT,PK_F101_FWHM,PK_H300_POS,PK_H300_INT,PK_H300_FWHM,PK_F301_POS,PK_F301_INT,PK_F301_FWHM,Rs,R1,C1,R2,C2
Bare,001,Bare_001,0.6564,0.6313,0.6753,0.5229,0.1524,26.504871951247495,2701.322077676041,0.2523565029470259,37.76518899960376,8154.503051963208,0.2952501001989217,51.53906703911366,1999.0662583740204,0.3170774562836696,54.566564865946184,246.33476612662614,0.43228240687102415,61.612127755738975,846.3232590671646,0.49999999999999994,35.61461747140389,1182.8755476575666,0.26305273430292386,33.1951,73.1861,0.3297,33.7028,675.1531,0.3167,64.0264,110.0863,0.3099,65.5921,1335.977,0.4647,81.8031,293.2229,6.9433e-06,360.2511,7.14995e-05
Bare,002,Bare_002,0.0288,0.7443,0.7195,0.5657,0.1538,26.508676239383956,2680.75469841769,0.2584196776606847,37.76927606546904,7766.098446453455,0.3103390147111829,51.53978303156513,1985.2878199459797,0.33209069729355223,54.59303805571428,275.27755989284935,0.42719736061138597,61.6179849284074,822.6734736866099,0.49999999999999867,35.61736372945794,782.6732140619089,0.33344442085487913,33.2321,135.8833,0.088,33.7073,636.8565,0.3289,64.0423,88.1,0.3506,65.5909,1235.7695,0.4933,167.9771,7353.5505,1.06675e-05,16511.1709,4.41589e-05
Bare,003,Bare_003,0.7859,0.6283,0.6922,0.526,0.1662,26.510504168590934,2578.8467581466884,0.25228695658740197,37.77516289430978,7828.240297547401,0.29045158001403465,51.54774569787134,1922.1506804486671,0.3166127728670463,54.56978745638593,238.31359792482036,0.4220390418826292,61.6258281598681,908.6012092915885,0.49865614769123123,35.61938407129109,1280.3611898143947,0.21119185067030977,33.2218,65.6977,0.3717,33.7109,631.5042,0.3027,64.022,138.895,0.3277,65.598,1306.4497,0.4544,90.6373,211.2359,7.1558e-06,269.7316,0.0001033311
Bare,005,Bare_005,0.3061,0.6353,0.8555,0.5542,0.3013,26.480051836406517,2991.677671704158,0.29294947766384666,37.75142278281249,7609.064030971365,0.31853948440478747,51.52539667221956,1859.3818270610273,0.3442737759969753,54.56011510948269,276.6468110402034,0.36069437681021455,61.605689385135804,817.3019865625664,0.4999999999999608,35.60030598087993,1042.099653290696,0.3243183613718612,33.1853,34.9109,0.3562,33.6932,639.3691,0.3524,63.9978,95.2306,0.3871,65.578,1243.4976,0.4827,60.293,599.7305,6.8483e-06,1003.852,4.514e-05
Bare,006,Bare_006,0.5169,0.6393,0.7021,0.5368,0.1653,26.603331927140143,2201.4837924179355,0.2909861881887502,37.87147081895227,7107.256751233745,0.30352032824490466,51.64213727761495,1729.1130273250526,0.32340210701394956,54.657828110190124,247.12924905530983,0.403500070768622,61.72512396747051,735.2027103399872,0.4850467125057745,35.72222072874165,980.8698285044634,0.25731487331897884,33.3605,46.3079,0.2499,33.8115,549.8135,0.3167,64.0962,82.8461,0.3531,65.684,1227.9607,0.4505,98.5141,333.3764,6.627e-06,463.7805,7.01935e-05
Bare,007,Bare_007,0.4709,0.6453,0.7541,0.541,0.2131,26.509740023569663,2609.270838388654,0.2474835027354099,37.77564043622628,7724.546337831193,0.2954030395410257,51.55185795275194,1909.9632039310552,0.3238034206793353,54.57523090236521,218.57301836989956,0.3687893382778989,61.63123261546295,887.6344636602581,0.49999999999999994,35.618905618599655,1193.1846354093905,0.25231782806407244,33.231,79.9887,0.3056,33.7176,587.0517,0.317,64.0225,120.0514,0.2979,65.607,1273.4737,0.4598,85.2145,390.0956,6.9982e-06,489.4408,8.85016e-05
Bare,008,Bare_008,0.7654,0.6193,0.6904,0.5289,0.1615,26.526631412430493,2435.011942625348,0.2524074277229951,37.78354676240703,7496.222324423229,0.29818825927459325,51.55186326910508,1907.264246578079,0.326119695458735,54.59633341384242,241.43258293101147,0.4206535317176989,61.6283617632482,870.5736417896741,0.49999999999999806,35.63630419578517,1229.7846418922777,0.20450488527966645,33.2221,58.683,0.371,33.7311,584.4318,0.3143,64.0231,136.6063,0.3345,65.5926,1270.3383,0.4765,57.0252,192.317,7.4984e-06,281.4366,0.0001181263
Bare,009,Bare_009,0.4709,0.6403,0.6831,0.5345,0.1486,26.523023352612043,2477.0982982801393,0.2550090198714754,37.781138409591684,7531.424994589943,0.30054655792658636,51.54960674117056,1835.3785892376025,0.3204657119527204,54.60951390392524,196.66118657627297,0.3829133745766974,61.62720065736278,868.5835848226809,0.49999999999999994,35.63240938723031,1191.0326746446556,0.2108655142631315,33.229,59.9445,0.4352,33.7348,572.7676,0.3243,64.0125,116.5393,0.2571,65.5865,1295.1623,0.4654,67.3223,289.9917,6.982e-06,502.3849,7.51567e-05
Bare,010,Bare_010,0.8878,0.6383,0.6977,0.5317,0.166,26.523507620925557,2522.916468363261,0.2569904394705275,37.78093818185613,7761.699275451815,0.3078793134861095,51.5495246520354,1831.2517638581849,0.33179576325772325,54.59082490939406,232.7859397891411,0.3887392532423974,61.622620950754765,761.9589168231633,0.49999999999999994,35.63288943993139,1261.0869506480285,0.19514373864937604,33.161,69.735,0.03,33.7213,594.4733,0.3446,64.0327,114.8784,0.3247,65.5896,1234.9146,0.485,62.6848,157.8028,8.0817e-06,246.4502,0.0001411822
Bare,011,Bare_011,0.8684,0.6403,0.8146,0.5255,0.2891,26.565918658768997,2631.755439101271,0.2475555831892691,37.826813500260315,7755.15835432958,0.30328616769809247,51.593220515761864,1856.8372148008361,0.3234114561787073,54.63405444995365,252.78874819990185,0.4249108909794752,61.6760519516912,753.8822546661376,0.49999999999999983,35.678829244647474,1181.1802154397358,0.1969402258684985,33.4,51.3384,0.4606,33.7714,566.5049,0.2846,64.0542,151.601,0.3548,65.6348,1265.1677,0.4775,55.4729,167.1815,8.0018e-06,243.9729,0.0001332349
